time_ms,p0,scenario,mo_diff
188858,713,3,16
188910,714,3,12
188962,714,3,8
189014,715,3,20
189066,715,3,20
189162,713,3,24
189215,715,3,20
189354,714,3,12
189494,714,3,12
189546,714,3,20
189598,715,3,28
189738,714,3,24
189882,713,3,12
189934,715,3,12
189986,715,3,12
190038,715,3,16
190090,714,3,4
190142,713,3,12
190194,714,3,16
190246,714,3,12
190298,714,3,24
190570,715,3,36
190710,713,3,4
190766,715,3,12
190818,715,3,16
190870,715,3,8
190922,715,3,8
190974,714,3,4
191026,713,3,8
191078,714,3,28
191130,714,3,32
191182,715,3,28
191234,715,3,8
191286,715,3,20
191338,714,3,24
191390,714,3,24
191530,714,3,8
191582,715,3,20
191766,715,3,32
191818,715,3,24
191870,716,3,20
192102,715,3,12
192242,714,3,16
192386,715,3,12
192438,715,3,20
192490,716,3,12
192542,714,3,24
192594,713,3,20
192646,713,3,20
192698,714,3,16
192838,714,3,12
192890,714,3,4
192942,713,3,20
192994,713,3,28
193422,714,3,32
193562,713,3,20
193874,714,3,16
193926,714,3,24
193978,714,3,16
194030,713,3,28
194170,714,3,28
194222,714,3,16
194274,714,3,16
