time_ms,scenario,mo_win100
85412,0,28
85512,0,40
85612,0,28
85712,0,56
85812,0,28
85912,0,64
86012,0,24
86112,0,36
86212,0,36
86312,0,44
86412,0,56
86512,0,76
86612,0,32
86712,0,28
86812,0,36
86912,0,44
87012,4,52
87112,4,28
87212,4,48
87316,4,28
87416,4,32
87520,4,36
87620,4,40
87720,4,36
87820,4,28
87920,4,20
88020,4,32
88120,4,24
88220,4,36
88320,4,32
88420,4,36
88520,4,32
88620,4,48
88720,4,44
88824,4,32
88924,4,68
89024,4,64
89124,4,36
89224,4,48
89324,4,36
89424,4,36
89524,4,44
89624,4,24
89724,4,28
89824,4,40
89924,4,28
90024,4,44
90124,4,40
90224,4,24
90324,4,28
90424,4,20
90524,4,24
90624,4,24
90724,4,184
90828,4,40
90928,4,32
91028,4,32
91128,4,32
91232,4,24
91332,4,40
91432,4,24
91532,4,16
91632,4,44
91732,4,12
91832,4,20
91932,4,20
92032,4,24
92132,4,40
92236,4,32
92336,4,20
92436,4,36
92536,4,24
92636,4,44
92736,4,28
92836,4,28
92936,4,32
93036,4,16
93136,4,20
93236,4,20
93336,4,16
93436,4,36
93536,4,28
93636,4,32
93736,4,28
93836,4,24
93936,4,20
94036,4,12
94136,4,52
94240,4,72
94340,4,36
94440,4,40
94540,4,52
94640,4,44
94740,4,20
94840,4,32
94944,4,40
95044,4,32
95144,4,16
95244,4,36
95344,4,40
95444,4,24
95544,4,24
95645,4,36
95748,4,28
95848,4,32
95948,4,44
96048,4,36
96148,4,32
96248,4,36
96348,4,36
96448,4,40
96548,4,40
96648,4,40
96748,4,32
96848,4,48
96948,4,40
97048,4,36
97148,4,32
97248,4,40
97348,4,36
97448,4,40
97548,4,36
97652,4,40
97752,4,20
97852,4,28
97952,4,32
98052,4,20
98152,4,32
98252,4,40
98352,4,32
98452,4,28
98552,4,24
98656,4,44
98756,4,32
98856,4,32
98956,4,36
99056,4,56
99156,4,28
99256,4,28
99356,4,24
99456,4,32
99556,4,28
99656,4,28
99756,4,24
99856,4,64
99956,4,48
100056,4,216
100156,4,184
100256,4,20
100356,4,24
100456,4,36
100556,4,56
100656,4,68
100756,4,120
100856,4,52
100956,4,44
101056,4,20
101156,4,16
101256,4,16
101356,4,28
101460,4,24
101560,4,24
101660,4,20
101760,4,20
101860,4,20
101960,4,24
102060,4,28
102160,4,28
102260,4,36
102360,4,32
102460,4,12
102564,4,28
102664,4,32
102764,4,36
102864,4,36
102964,4,20
103068,4,28
103168,4,16
103268,4,32
103368,4,12
103468,4,44
103568,4,28
103668,4,28
103768,4,24
103868,4,48
103968,4,64
104068,4,68
104168,4,48
104268,4,28
104368,4,44
104468,4,36
104568,4,36
104668,4,24
104768,4,36
104868,4,28
104972,4,28
105072,4,28
105172,4,44
105272,4,48
105372,4,32
105472,4,52
105572,4,36
105672,4,40
105772,4,44
105872,4,76
105972,4,76
106072,4,44
106172,4,56
106272,4,52
106372,4,32
106476,4,32
106576,4,44
106676,4,48
106776,4,48
106876,4,36
106980,0,52
107080,0,100
107180,0,112
107280,0,160
107380,0,132
107480,0,140
107580,0,88
107680,0,76
107780,0,80
107880,0,36
107980,0,24
108080,0,24
108180,0,36
108280,0,28
108384,0,24
108484,0,32
108584,0,32
108684,0,40
108784,0,120
108884,0,164
108984,0,96
109084,0,416
109184,0,100
109284,0,140
109384,0,64
109484,0,20
109584,0,24
109684,0,24
109784,0,16
109884,0,32
109984,0,24
110084,0,36
110184,0,44
110284,0,28
110388,0,32
110488,0,32
110588,0,32
110688,0,36
110788,0,20
110888,0,24
110988,0,24
111088,0,32
111188,0,28
111288,0,28
111388,0,32
111488,0,24
111588,0,36
111688,0,32
111788,0,40
111888,0,24
111988,0,24
112088,0,28
112188,0,28
112288,0,20
112392,0,32
112492,0,20
112592,0,20
112692,0,44
112792,0,32
112892,0,32
112992,0,20
113092,0,36
113192,0,20
113292,0,24
113392,0,32
113492,0,28
113592,0,56
113692,0,36
113792,0,28
113892,0,32
113992,0,32
114092,0,20
114192,0,24
114292,0,24
114396,0,24
114496,0,24
114596,0,20
114696,0,16
114796,0,20
114896,0,12
114996,0,24
115096,0,28
115196,0,36
115296,0,32
115396,0,16
115496,0,24
115596,0,20
115696,0,44
115796,0,24
115896,0,32
115996,0,40
116096,0,36
116196,0,20
116300,0,40
116400,0,20
116500,0,20
116600,0,28
116700,0,20
116800,0,32
116900,0,24
117000,0,28
117100,0,24
117200,0,20
117300,0,24
117400,0,28
117500,0,48
117600,0,32
117700,0,32
117800,0,28
117900,0,32
118000,0,24
118100,0,32
118200,0,24
118304,0,24
118404,0,32
118504,0,36
118604,0,24
118704,0,28
118804,0,28
118904,0,20
119004,0,32
119104,0,32
119204,0,40
119304,0,24
119404,0,36
119504,0,40
119604,0,28
119704,0,28
119804,0,52
119904,0,24
120004,0,28
120104,0,40
120208,0,24
120308,0,28
120408,0,36
120508,0,40
120608,0,24
120708,0,44
120808,0,20
120908,0,32
121008,0,12
121108,0,32
121208,0,16
121308,0,12
121408,0,28
121508,0,32
121608,0,32
121708,0,20
121808,0,24
121908,0,20
122008,0,8
122108,0,40
122212,0,24
122312,0,36
122412,0,28
122512,0,32
122612,0,24
122712,0,28
122812,0,28
122912,0,28
123012,0,16
123112,0,24
123212,0,20
123312,0,24
123412,0,16
123512,0,24
123612,0,24
123712,0,36
123812,0,16
123912,0,28
124012,0,28
124112,0,36
124216,0,20
124316,0,20
124416,0,20
124516,0,20
124616,0,28
124716,0,28
124816,0,28
124916,0,28
125016,0,24
125116,0,24
125216,0,20
125316,0,24
125416,0,16
125516,0,20
125616,0,20
125716,0,20
125816,0,20
125916,0,28
126016,0,20
126120,0,24
126220,0,24
126320,0,28
126420,0,24
126520,0,12
126620,0,24
126720,0,32
126820,0,24
126920,0,24
127020,0,32
127120,0,24
127220,0,32
127320,0,40
127420,0,32
127520,0,144
127620,0,96
127720,0,32
127820,0,40
127920,0,40
128020,0,28
128124,0,40
128224,0,20
128324,0,12
128424,0,32
128524,0,20
128624,0,16
128724,0,32
128824,0,40
128924,0,28
129024,0,36
129124,0,32
129224,0,24
129324,0,16
129424,0,88
129524,0,208
129624,0,176
129724,0,76
129824,0,32
